Zona,Escolaridade,Gênero,Faixa etária,Eleitorado,Com biometria,Com biometria (%),Com nome social,Com deficiência,Data de carga
1,ENSINO MÉDIO INCOMPLETO,MASCULINO,35 a 39 anos,228,218,"0,9561",1,2,2022-07-11 22:32:34
1,ENSINO MÉDIO INCOMPLETO,MASCULINO,40 a 44 anos,179,171,"0,9553",0,2,2022-07-11 22:32:34
1,ENSINO MÉDIO INCOMPLETO,MASCULINO,45 a 49 anos,134,129,"0,9627",0,0,2022-07-11 22:32:34
1,ENSINO MÉDIO INCOMPLETO,MASCULINO,50 a 54 anos,160,150,"0,9375",0,0,2022-07-11 22:32:34
1,ENSINO MÉDIO INCOMPLETO,MASCULINO,55 a 59 anos,142,136,"0,9577",0,3,2022-07-11 22:32:34
1,ENSINO MÉDIO INCOMPLETO,MASCULINO,60 a 64 anos,100,99,"0,99",0,0,2022-07-11 22:32:34
1,ENSINO MÉDIO INCOMPLETO,MASCULINO,65 a 69 anos,74,70,"0,9459",0,4,2022-07-11 22:32:34
1,ENSINO MÉDIO INCOMPLETO,MASCULINO,70 a 74 anos,42,40,"0,9524",0,1,2022-07-11 22:32:34
1,ENSINO MÉDIO INCOMPLETO,MASCULINO,75 a 79 anos,31,29,"0,9355",0,2,2022-07-11 22:32:34
1,ENSINO MÉDIO INCOMPLETO,MASCULINO,80 a 84 anos,16,16,1,0,0,2022-07-11 22:32:34
1,ENSINO MÉDIO INCOMPLETO,MASCULINO,85 a 89 anos,6,6,1,0,0,2022-07-11 22:32:34
1,LÊ E ESCREVE,FEMININO,16 anos,1,0,0,0,0,2022-07-11 22:32:34
1,LÊ E ESCREVE,FEMININO,18 anos,1,0,0,0,0,2022-07-11 22:32:34
1,LÊ E ESCREVE,FEMININO,19 anos,1,0,0,0,0,2022-07-11 22:32:34
1,LÊ E ESCREVE,FEMININO,21 a 24 anos,1,1,1,0,0,2022-07-11 22:32:34
1,LÊ E ESCREVE,FEMININO,25 a 29 anos,3,3,1,0,0,2022-07-11 22:32:34
1,LÊ E ESCREVE,FEMININO,30 a 34 anos,4,3,"0,75",0,0,2022-07-11 22:32:34
1,LÊ E ESCREVE,FEMININO,35 a 39 anos,9,9,1,0,0,2022-07-11 22:32:34
1,LÊ E ESCREVE,FEMININO,40 a 44 anos,19,19,1,0,2,2022-07-11 22:32:34
1,LÊ E ESCREVE,FEMININO,45 a 49 anos,32,30,"0,9375",0,1,2022-07-11 22:32:34
1,LÊ E ESCREVE,FEMININO,50 a 54 anos,39,38,"0,9744",0,1,2022-07-11 22:32:34
1,LÊ E ESCREVE,FEMININO,55 a 59 anos,93,89,"0,957",0,1,2022-07-11 22:32:34
1,LÊ E ESCREVE,FEMININO,60 a 64 anos,94,94,1,0,2,2022-07-11 22:32:34
1,LÊ E ESCREVE,FEMININO,65 a 69 anos,102,98,"0,9608",0,6,2022-07-11 22:32:34
1,LÊ E ESCREVE,FEMININO,70 a 74 anos,77,76,"0,987",0,3,2022-07-11 22:32:34
1,LÊ E ESCREVE,FEMININO,75 a 79 anos,51,51,1,0,0,2022-07-11 22:32:34
1,LÊ E ESCREVE,FEMININO,80 a 84 anos,38,38,1,0,2,2022-07-11 22:32:34
1,LÊ E ESCREVE,FEMININO,85 a 89 anos,20,20,1,0,1,2022-07-11 22:32:34
1,LÊ E ESCREVE,FEMININO,90 a 94 anos,9,9,1,0,1,2022-07-11 22:32:34
1,LÊ E ESCREVE,FEMININO,95 a 99 anos,5,4,"0,8",0,2,2022-07-11 22:32:34
1,LÊ E ESCREVE,MASCULINO,16 anos,1,0,0,0,0,2022-07-11 22:32:34
1,LÊ E ESCREVE,MASCULINO,18 anos,2,0,0,0,0,2022-07-11 22:32:34
1,LÊ E ESCREVE,MASCULINO,19 anos,1,0,0,0,1,2022-07-11 22:32:34
1,LÊ E ESCREVE,MASCULINO,21 a 24 anos,5,4,"0,8",0,2,2022-07-11 22:32:34
1,LÊ E ESCREVE,MASCULINO,25 a 29 anos,5,5,1,0,0,2022-07-11 22:32:34
1,LÊ E ESCREVE,MASCULINO,30 a 34 anos,11,8,"0,7273",0,1,2022-07-11 22:32:34
